language,project,merge_sha,file,tool,conflicts,classification
csharp,Dapper,d9fed73d,tests/Dapper.Tests/DateTimeOnlyTests.cs,diff3,14,reportou_conflito
csharp,Dapper,d9fed73d,tests/Dapper.Tests/DateTimeOnlyTests.cs,csdiff,19,reportou_conflito
csharp,Dapper,d9fed73d,tests/Dapper.Tests/DateTimeOnlyTests.cs,sepmerge,14,reportou_conflito
csharp,Dapper,ffc02eb,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,ffc02eb,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,ffc02eb,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,Dapper,ffc02eb2,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,ffc02eb2,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,ffc02eb2,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/ButtonsViewModel.cs,diff3,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/ButtonsViewModel.cs,csdiff,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/ButtonsViewModel.cs,sepmerge,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Dialogs.xaml.cs,diff3,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Dialogs.xaml.cs,csdiff,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Dialogs.xaml.cs,sepmerge,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Domain/TreesViewModel.cs,diff3,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Domain/TreesViewModel.cs,csdiff,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MainDemo.Wpf/Domain/TreesViewModel.cs,sepmerge,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ButtonProgressAssist.cs,diff3,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ButtonProgressAssist.cs,csdiff,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ButtonProgressAssist.cs,sepmerge,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogHost.cs,diff3,20,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogHost.cs,csdiff,36,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogHost.cs,sepmerge,20,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogSession.cs,diff3,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogSession.cs,csdiff,8,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/DialogSession.cs,sepmerge,4,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Ripple.cs,diff3,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Ripple.cs,csdiff,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Ripple.cs,sepmerge,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/SnackbarMessageQueue.cs,diff3,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/SnackbarMessageQueue.cs,csdiff,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/SnackbarMessageQueue.cs,sepmerge,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/IZIndexController.cs,diff3,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/IZIndexController.cs,csdiff,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/IZIndexController.cs,sepmerge,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionEffectTypeConverter.cs,diff3,6,reportou_conflito
